Date and time	Type of activity	Vendor	Item purchased	Number of items	Change in pokecoins	Money spent on purchase	Currency
07/20/2021 17:33:51 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/20/2021 17:33:51 UTC	In-game item bought		Potion	2	
07/21/2021 07:34:04 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/21/2021 07:34:04 UTC	In-game item bought		Poke balls	3	
07/21/2021 07:34:04 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/21/2021 07:34:04 UTC	In-game item bought		Potion	1	
07/21/2021 20:30:03 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/21/2021 20:30:03 UTC	In-game item bought		Pokemon storage upgrade	1	
07/21/2021 20:30:07 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/21/2021 20:30:07 UTC	In-game item bought		Bag upgrade	1	
07/23/2021 02:45:54 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/23/2021 02:45:54 UTC	In-game item bought		Razz berry	1	
07/23/2021 02:45:54 UTC	In-game item bought		Great balls	2	
07/23/2021 02:45:54 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/23/2021 02:45:54 UTC	In-game item bought		Potion	1	
07/23/2021 12:42:14 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/23/2021 12:42:14 UTC	In-game item bought		Poke balls	2	
07/23/2021 12:42:14 UTC	In-game item bought		Great balls	1	
07/23/2021 12:42:14 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/23/2021 12:42:14 UTC	In-game item bought		Potion	1	
07/24/2021 09:00:34 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/24/2021 09:00:34 UTC	In-game item bought		Poke balls	3	
07/24/2021 09:00:34 UTC	In-game item bought		Great balls	1	
07/24/2021 09:00:34 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/25/2021 07:09:20 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/25/2021 07:09:20 UTC	In-game item bought		Poke balls	2	
07/25/2021 07:09:20 UTC	In-game item bought		Great balls	1	
07/25/2021 07:09:20 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/25/2021 07:09:20 UTC	In-game item bought		Potion	1	
07/26/2021 12:57:14 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/26/2021 12:57:14 UTC	In-game item bought		Razz berry	1	
07/26/2021 12:57:14 UTC	In-game item bought		Poke balls	1	
07/26/2021 12:57:14 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/26/2021 12:57:14 UTC	In-game item bought		Potion	2	
07/26/2021 12:57:22 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/26/2021 12:57:22 UTC	In-game item bought		Pokemon storage upgrade	1	
07/26/2021 12:57:26 UTC	Pokecoin spent for in-game item		POKECOIN		-200
